date,home,away,redzone_sucess_opp_homeAvg,redzone_rate_opp_homeAvg,redzone_sucess_homeAvg,redzone_rate_homeAvg
9/29/2002,Cardinals,Giants,0,0,0,0
9/29/2002,Chargers,Patriots,0,0,0,0
9/29/2002,Lions,Saints,0,0,0,0
9/29/2002,Jaguars,Jets,0,0,0,0
9/29/2002,Bills,Bears,0,0,0,0
9/29/2002,Eagles,Texans,0,0,0,0
9/29/2002,Seahawks,Vikings,0,0,0,0
9/29/2002,Chiefs,Dolphins,0,0,0,0
9/29/2002,Raiders,Titans,0,0,0,0
9/30/2002,Ravens,Broncos,0,0,0,0
10/6/2002,Falcons,Buccaneers,0,0,0,0
10/6/2002,Panthers,Cardinals,0,0,0,0
10/6/2002,Titans,Redskins,0,0,0,0
10/6/2002,Cowboys,Giants,0,0,0,0
10/6/2002,Browns,Ravens,0,0,0,0
10/6/2002,Jets,Chiefs,0,0,0,0
10/6/2002,Broncos,Chargers,0,0,0,0
10/6/2002,Dolphins,Patriots,0,0,0,0
10/6/2002,Colts,Bengals,0,0,0,0
10/6/2002,Jaguars,Eagles,0,0,0,0
10/6/2002,Bills,Raiders,0,0,0,0
10/6/2002,Saints,Steelers,0,0,0,0
10/6/2002,49ers,Rams,0,0,0,0
10/7/2002,Bears,Packers,0,0,0,0
10/13/2002,Bengals,Steelers,0,0,0,0
10/13/2002,Giants,Falcons,0,0,0,0
10/13/2002,Patriots,Packers,0,0,0,0
10/13/2002,Cowboys,Panthers,0,0,0,0
10/13/2002,Buccaneers,Browns,0,0,0,0
10/13/2002,Colts,Ravens,0,0,0,0
10/13/2002,Broncos,Dolphins,0,0,0,0
10/13/2002,Titans,Jaguars,0,0,0,0
10/13/2002,Texans,Bills,0,0,0,0
10/13/2002,Redskins,Saints,0,0,0,0
10/13/2002,Rams,Raiders,0,0,0,0
10/13/2002,Vikings,Lions,0,0,0,0
10/13/2002,Chargers,Chiefs,0,0,0,0
10/14/2002,Seahawks,49ers,0,0,0,0
10/20/2002,Cardinals,Cowboys,0,0,0,0
10/20/2002,Dolphins,Bills,0,0,0,0
10/20/2002,Ravens,Jaguars,0,0,0,0
10/20/2002,Jets,Vikings,0,0,0,0
10/20/2002,Eagles,Buccaneers,0,0,0,0
10/20/2002,Raiders,Chargers,0,0,0,0
10/20/2002,Lions,Bears,0,0,0,0
10/20/2002,Falcons,Panthers,0,0,0,0
10/20/2002,Packers,Redskins,0,0,0,0
10/20/2002,Browns,Texans,0,0,0,0
10/20/2002,Chiefs,Broncos,0,0,0,0
10/20/2002,Saints,49ers,0,0,0,0
10/20/2002,Rams,Seahawks,0,0,0,0
10/21/2002,Steelers,Colts,0,0,0,0
10/27/2002,Panthers,Buccaneers,0,0,0,0
10/27/2002,Cowboys,Seahawks,0,0,0,0
10/27/2002,Patriots,Broncos,0,0,0,0
10/27/2002,Ravens,Steelers,0,0,0,0
10/27/2002,Jaguars,Texans,0,0,0,0
10/27/2002,Chiefs,Raiders,0,0,0,0
10/27/2002,Jets,Browns,0,0,0,0
10/27/2002,Bills,Lions,0,0,0,0
10/27/2002,Bengals,Titans,0,0,0,0
10/27/2002,Vikings,Bears,0,0,0,0
10/27/2002,Redskins,Colts,0,0,0,0
10/27/2002,Saints,Falcons,0,0,0,0
10/27/2002,49ers,Cardinals,0,0,0,0
10/28/2002,Eagles,Giants,0,0,0,0
11/3/2002,Seahawks,Redskins,0,0,0,0
11/3/2002,Texans,Bengals,0,0,0,0
11/3/2002,Bills,Patriots,0,0,0,0
11/3/2002,Lions,Cowboys,0,0,0,0
11/3/2002,Bears,Eagles,0,0,0,0
11/3/2002,Chargers,Jets,0,0,0,0
11/3/2002,Cardinals,Rams,0,0,0,0
11/3/2002,Colts,Titans,0,0,0,0
11/3/2002,Falcons,Ravens,0,0,0,0
11/3/2002,Browns,Steelers,0,0,0,0
11/3/2002,Raiders,49ers,0,0,0,0
11/3/2002,Giants,Jaguars,0,0,0,0
11/3/2002,Buccaneers,Vikings,0,0,0,0
11/4/2002,Packers,Dolphins,0,0,0,0
11/10/2002,Cardinals,Seahawks,0,0,0,0
11/10/2002,Jets,Dolphins,0,0,0,0
11/10/2002,Eagles,Colts,0,0,0,0
11/10/2002,Titans,Texans,0,0,0,0
11/10/2002,49ers,Chiefs,0,0,0,0
11/10/2002,Vikings,Giants,0,0,0,0
11/10/2002,Panthers,Saints,0,0,0,0
11/10/2002,Jaguars,Redskins,0,0,0,0
11/10/2002,Rams,Chargers,0,0,0,0
11/10/2002,Bears,Patriots,0,0,0,0
11/10/2002,Steelers,Falcons,0,0,0,0
11/10/2002,Ravens,Bengals,0,0,0,0
11/10/2002,Packers,Lions,0,0,0,0
11/11/2002,Broncos,Raiders,0,0,0,0
11/17/2002,Seahawks,Broncos,0,0,0,0
11/17/2002,Lions,Jets,0,0,0,0
11/17/2002,Chiefs,Bills,0,0,0,0
11/17/2002,Giants,Redskins,0,0,0,0
11/17/2002,Colts,Cowboys,0,0,0,0
11/17/2002,Chargers,49ers,0,0,0,0
11/17/2002,Bengals,Browns,0,0,0,0
11/17/2002,Texans,Jaguars,0,0,0,0
11/17/2002,Buccaneers,Panthers,0,0,0,0
11/17/2002,Falcons,Saints,0,0,0,0
11/17/2002,Dolphins,Ravens,0,0,0,0
11/17/2002,Raiders,Patriots,0,0,0,0
11/17/2002,Vikings,Packers,0,0,0,0
11/17/2002,Titans,Steelers,0,0,0,0
11/17/2002,Eagles,Cardinals,0,0,0,0
11/18/2002,Rams,Bears,0,0,0,0
11/24/2002,Panthers,Falcons,0,0,0,0
11/24/2002,Ravens,Titans,0,0,0,0
11/24/2002,Saints,Browns,0,0,0,0
11/24/2002,Texans,Giants,0,0,0,0
11/24/2002,Bears,Lions,0,0,0,0
11/24/2002,Redskins,Rams,0,0,0,0
11/24/2002,Broncos,Colts,0,0,0,0
11/24/2002,Cardinals,Raiders,0,0,0,0
11/24/2002,Buccaneers,Packers,0,0,0,0
11/24/2002,Cowboys,Jaguars,0,0,0,0
11/24/2002,Patriots,Vikings,0,0,0,0
11/24/2002,Steelers,Bengals,0,0,0,0
11/24/2002,Dolphins,Chargers,0,0,0,0
11/24/2002,Jets,Bills,0,0,0,0
11/24/2002,Seahawks,Chiefs,0,0,0,0
11/25/2002,49ers,Eagles,0,0,0,0
11/28/2002,Lions,Patriots,0,0,0,0
11/28/2002,Cowboys,Redskins,0,0,0,0
12/1/2002,Browns,Panthers,0,0,0,0
12/1/2002,Eagles,Rams,0,0,0,0
12/1/2002,Colts,Texans,0,0,0,0
12/1/2002,Saints,Buccaneers,0,0,0,0
12/1/2002,Jaguars,Steelers,0,0,0,0
12/1/2002,Bengals,Ravens,0,0,0,0
12/1/2002,Vikings,Falcons,0,0,0,0
12/1/2002,Giants,Titans,0,0,0,0
12/1/2002,Packers,Bears,0,0,0,0
12/1/2002,Chargers,Broncos,0,0,0,0
12/1/2002,49ers,Seahawks,0,0,0,0
12/1/2002,Bills,Dolphins,0,0,0,0
12/1/2002,Chiefs,Cardinals,0,0,0,0
12/2/2002,Raiders,Jets,0,0,0,0
12/8/2002,Steelers,Texans,0,0,0,0
12/8/2002,Chargers,Raiders,0,0,0,0
12/8/2002,Jets,Broncos,0,0,0,0
12/8/2002,Jaguars,Browns,0,0,0,0
12/8/2002,Seahawks,Eagles,0,0,0,0
12/8/2002,Redskins,Giants,0,0,0,0
12/8/2002,Cardinals,Lions,0,0,0,0
12/8/2002,Ravens,Saints,0,0,0,0
12/8/2002,Packers,Vikings,0,0,0,0
12/8/2002,Titans,Colts,0,0,0,0
12/8/2002,Patriots,Bills,0,0,0,0
12/8/2002,Cowboys,49ers,0,0,0,0
12/8/2002,Buccaneers,Falcons,0,0,0,0
12/8/2002,Chiefs,Rams,0,0,0,0
12/8/2002,Panthers,Bengals,0,0,0,0
12/9/2002,Dolphins,Bears,0,0,0,0
12/15/2002,49ers,Packers,0,0,0,0
12/15/2002,Bengals,Jaguars,0,0,0,0
12/15/2002,Texans,Ravens,0,0,0,0
12/15/2002,Bills,Chargers,0,0,0,0
12/15/2002,Bears,Jets,0,0,0,0
12/15/2002,Lions,Buccaneers,0,0,0,0
12/15/2002,Dolphins,Raiders,0,0,0,0
12/15/2002,Browns,Colts,0,0,0,0
12/15/2002,Falcons,Seahawks,0,0,0,0
12/15/2002,Steelers,Panthers,0,0,0,0
12/15/2002,Rams,Cardinals,0,0,0,0
12/15/2002,Broncos,Chiefs,0,0,0,0
12/15/2002,Saints,Vikings,0,0,0,0
12/15/2002,Eagles,Redskins,0,0,0,0
12/15/2002,Giants,Cowboys,0,0,0,0
12/16/2002,Titans,Patriots,0,0,0,0
12/21/2002,Cowboys,Eagles,0,0,0,0
12/21/2002,Cardinals,49ers,0,0,0,0
12/21/2002,Vikings,Dolphins,0,0,0,0
12/22/2002,Packers,Bills,0,0,0,0
12/22/2002,Jaguars,Titans,0,0,0,0
12/22/2002,Ravens,Browns,0,0,0,0
12/22/2002,Patriots,Jets,0,0,0,0
12/22/2002,Bengals,Saints,0,0,0,0
12/22/2002,Panthers,Bears,0,0,0,0
12/22/2002,Chiefs,Chargers,0,0,0,0
12/22/2002,Redskins,Texans,0,0,0,0
12/22/2002,Colts,Giants,0,0,0,0
12/22/2002,Raiders,Broncos,0,0,0,0
12/22/2002,Seahawks,Rams,0,0,0,0
12/22/2002,Falcons,Lions,0,0,0,0
12/23/2002,Buccaneers,Steelers,0,0,0,0
12/28/2002,Giants,Eagles,0,0,0,0
12/28/2002,Raiders,Chiefs,0,0,0,0
12/29/2002,Bears,Buccaneers,0,0,0,0
12/29/2002,Texans,Titans,0,0,0,0
12/29/2002,Saints,Panthers,0,0,0,0
12/29/2002,Colts,Jaguars,0,0,0,0
12/29/2002,Redskins,Cowboys,0,0,0,0
12/29/2002,Browns,Falcons,0,0,0,0
12/29/2002,Bills,Bengals,0,0,0,0
12/29/2002,Patriots,Dolphins,0,0,0,0
12/29/2002,Chargers,Seahawks,0,0,0,0
12/29/2002,Steelers,Ravens,0,0,0,0
12/29/2002,Lions,Vikings,0,0,0,0
12/29/2002,Broncos,Cardinals,0,0,0,0
12/29/2002,Jets,Packers,0,0,0,0
12/30/2002,Rams,49ers,0,0,0,0
1/4/2003,Packers,Falcons,0,0,0,0
1/4/2003,Jets,Colts,0,0,0,0
1/5/2003,Steelers,Browns,0,0,0,0
1/5/2003,49ers,Giants,0,0,0,0
1/11/2003,Eagles,Falcons,0,0,0,0
1/11/2003,Titans,Steelers,0,0,0,0
1/12/2003,Raiders,Jets,0,0,0,0
1/12/2003,Buccaneers,49ers,0,0,0,0
1/19/2003,Eagles,Buccaneers,0,0,0,0
1/19/2003,Raiders,Titans,0,0,0,0
1/26/2003,Buccaneers,Raiders,0,0,0,0
9/4/2003,Redskins,Jets,0,0,0,0
9/7/2003,Browns,Colts,0,0,0,0
9/7/2003,Bengals,Broncos,0,0,0,0
9/7/2003,Cowboys,Falcons,0,0,0,0
9/7/2003,Dolphins,Texans,0,0,0,0
9/7/2003,Giants,Rams,0,0,0,0
9/7/2003,Panthers,Jaguars,0,0,0,0
9/7/2003,Titans,Raiders,0,0,0,0
9/7/2003,Packers,Vikings,0,0,0,0
9/7/2003,Seahawks,Saints,0,0,0,0
9/7/2003,Chiefs,Chargers,0,0,0,0
9/7/2003,Bills,Patriots,0,0,0,0
9/7/2003,Steelers,Ravens,0,0,0,0
9/7/2003,Lions,Cardinals,0,0,0,0
9/7/2003,49ers,Bears,0,0,0,0
9/8/2003,Eagles,Buccaneers,0,0,0,0
9/14/2003,Cardinals,Seahawks,0,0,0,0
9/14/2003,Buccaneers,Panthers,0,0,0,0
9/14/2003,Jets,Dolphins,0,0,0,0
9/14/2003,Eagles,Patriots,0,0,0,0
9/14/2003,Chargers,Broncos,0,0,0,0
9/14/2003,Jaguars,Bills,0,0,0,0
9/14/2003,Raiders,Bengals,0,0,0,0
9/14/2003,Vikings,Bears,0,0,0,0
9/14/2003,Rams,49ers,0,0,0,0
9/14/2003,Packers,Lions,0,0,0,0
9/14/2003,Saints,Texans,0,0,0,0
9/14/2003,Falcons,Redskins,0,0,0,0
9/14/2003,Colts,Titans,0,0,0,0
9/14/2003,Ravens,Browns,0,0,0,0
9/14/2003,Chiefs,Steelers,0,0,0,0
9/15/2003,Giants,Cowboys,0,0,0,0
9/21/2003,Bengals,Steelers,0,0,0,0
9/21/2003,Chargers,Ravens,0,0,0,0
9/21/2003,Falcons,Buccaneers,0,0,0,0
9/21/2003,49ers,Browns,0,0,0,0
9/21/2003,Lions,Vikings,0,0,0,0
9/21/2003,Texans,Chiefs,0,0,0,0
9/21/2003,Dolphins,Bills,0,0,0,0
9/21/2003,Cardinals,Packers,0,0,0,0
9/21/2003,Redskins,Giants,0,0,0,0
9/21/2003,Colts,Jaguars,0,0,0,0
9/21/2003,Patriots,Jets,0,0,0,0
9/21/2003,Seahawks,Rams,0,0,0,0
9/21/2003,Titans,Saints,0,0,0,0
9/22/2003,Broncos,Raiders,0,0,0,0
9/28/2003,Jets,Cowboys,0,0,0,0
9/28/2003,Ravens,Chiefs,0,0,0,0
9/28/2003,Bills,Eagles,0,0,0,0
9/28/2003,Steelers,Titans,0,0,0,0
9/28/2003,Browns,Bengals,0,0,0,0
9/28/2003,Broncos,Lions,0,0,0,0
9/28/2003,Redskins,Patriots,0,0,0,0
9/28/2003,Saints,Colts,0,0,0,0
9/28/2003,Panthers,Falcons,0,0,0,0
9/28/2003,Texans,Jaguars,0,0,0,0
9/28/2003,Raiders,Chargers,0,0,0,0
9/28/2003,Vikings,49ers,0,0,0,0
9/28/2003,Rams,Cardinals,0,0,0,0
9/29/2003,Bears,Packers,0,0,0,0
10/5/2003,Giants,Dolphins,0,0,0,0
10/5/2003,Steelers,Browns,0,0,0,0
10/5/2003,Panthers,Saints,0,0,0,0
10/5/2003,Bills,Bengals,0,0,0,0
10/5/2003,Cowboys,Cardinals,0,0,0,0
10/5/2003,49ers,Lions,0,0,0,0
10/5/2003,Bears,Raiders,0,0,0,0
10/5/2003,Chiefs,Broncos,0,0,0,0
10/5/2003,Falcons,Vikings,0,0,0,0
10/5/2003,Jaguars,Chargers,0,0,0,0
10/5/2003,Eagles,Redskins,0,0,0,0
10/5/2003,Packers,Seahawks,0,0,0,0
10/5/2003,Patriots,Titans,0,0,0,0
10/6/2003,Buccaneers,Colts,0,0,0,0
10/12/2003,Jaguars,Dolphins,0,0,0,0
10/12/2003,Browns,Raiders,0,0,0,0
10/12/2003,Redskins,Buccaneers,0,0,0,0
10/12/2003,Patriots,Giants,0,0,0,0
10/12/2003,Broncos,Steelers,0,0,0,0
10/12/2003,Cardinals,Ravens,0,0,0,0
10/12/2003,Saints,Bears,0,0,0,0
10/12/2003,Seahawks,49ers,0,0,0,0
10/12/2003,Colts,Panthers,0,0,0,0
10/12/2003,Cowboys,Eagles,0,0,0,0
10/12/2003,Jets,Bills,0,0,0,0
10/12/2003,Packers,Chiefs,0,0,0,0
10/12/2003,Titans,Texans,0,0,0,0
10/13/2003,Rams,Falcons,0,0,0,0
10/19/2003,Lions,Cowboys,0,0,0,0
10/19/2003,Giants,Eagles,0,0,0,0
10/19/2003,Dolphins,Patriots,0,0,0,0
10/19/2003,Texans,Jets,0,0,0,0
10/19/2003,Panthers,Titans,0,0,0,0
10/19/2003,Falcons,Saints,0,0,0,0
10/19/2003,Browns,Chargers,0,0,0,0
10/19/2003,Bills,Redskins,0,0,0,0
10/19/2003,49ers,Buccaneers,0,0,0,0
10/19/2003,Seahawks,Bears,0,0,0,0
10/19/2003,Vikings,Broncos,0,0,0,0
10/19/2003,Rams,Packers,0,0,0,0
10/19/2003,Bengals,Ravens,0,0,0,0
10/20/2003,Raiders,Chiefs,0,0,0,0
10/26/2003,Patriots,Browns,0,0,0,0
10/26/2003,Buccaneers,Cowboys,0,0,0,0
10/26/2003,Cardinals,49ers,0,0,0,0
10/26/2003,Vikings,Giants,0,0,0,0
10/26/2003,Jaguars,Titans,0,0,0,0
10/26/2003,Saints,Panthers,0,0,0,0
10/26/2003,Steelers,Rams,0,0,0,0
10/26/2003,Bears,Lions,0,0,0,0
10/26/2003,Eagles,Jets,0,0,0,0
10/26/2003,Ravens,Broncos,0,0,0,0
10/26/2003,Bengals,Seahawks,0,0,0,0
10/26/2003,Colts,Texans,0,0,0,0
10/26/2003,Chiefs,Bills,0,0,0,0
10/27/2003,Chargers,Dolphins,0,0,0,0
11/2/2003,Texans,Panthers,0,0,0,0
11/2/2003,Buccaneers,Saints,0,0,0,0
11/2/2003,Falcons,Eagles,0,0,0,0
11/2/2003,Cardinals,Bengals,0,0,0,0
11/2/2003,Dolphins,Colts,0,0,0,0
11/2/2003,Bears,Chargers,0,0,0,0
11/2/2003,Cowboys,Redskins,0,0,0,0
11/2/2003,Lions,Raiders,0,0,0,0
11/2/2003,Seahawks,Steelers,0,0,0,0
11/2/2003,Ravens,Jaguars,0,0,0,0
11/2/2003,Vikings,Packers,0,0,0,0
11/2/2003,Jets,Giants,0,0,0,0
11/2/2003,49ers,Rams,0,0,0,0
11/3/2003,Broncos,Patriots,0,0,0,0
11/9/2003,Giants,Falcons,0,0,0,0
11/9/2003,Cowboys,Bills,0,0,0,0
11/9/2003,Lions,Bears,0,0,0,0
11/9/2003,Raiders,Jets,0,0,0,0
11/9/2003,Redskins,Seahawks,0,0,0,0
11/9/2003,Panthers,Buccaneers,0,0,0,0
11/9/2003,Steelers,Cardinals,0,0,0,0
11/9/2003,Jaguars,Colts,0,0,0,0
11/9/2003,Titans,Dolphins,0,0,0,0
11/9/2003,Rams,Ravens,0,0,0,0
11/9/2003,Bengals,Texans,0,0,0,0
11/9/2003,Chiefs,Browns,0,0,0,0
11/9/2003,Chargers,Vikings,0,0,0,0
11/10/2003,Packers,Eagles,0,0,0,0
11/16/2003,Dolphins,Ravens,0,0,0,0
11/16/2003,Titans,Jaguars,0,0,0,0
11/16/2003,Bills,Texans,0,0,0,0
11/16/2003,Patriots,Cowboys,0,0,0,0
11/16/2003,Buccaneers,Packers,0,0,0,0
11/16/2003,Panthers,Redskins,0,0,0,0
11/16/2003,Bears,Rams,0,0,0,0
11/16/2003,Saints,Falcons,0,0,0,0
11/16/2003,Bengals,Chiefs,0,0,0,0
11/16/2003,Eagles,Giants,0,0,0,0
11/16/2003,Raiders,Vikings,0,0,0,0
11/16/2003,Seahawks,Lions,0,0,0,0
11/16/2003,Broncos,Chargers,0,0,0,0
11/16/2003,Colts,Jets,0,0,0,0
11/16/2003,Browns,Cardinals,0,0,0,0
11/17/2003,49ers,Steelers,0,0,0,0
11/23/2003,Browns,Steelers,0,0,0,0
11/23/2003,Broncos,Bears,0,0,0,0
11/23/2003,Jets,Jaguars,0,0,0,0
11/23/2003,Bills,Colts,0,0,0,0
11/23/2003,Packers,49ers,0,0,0,0
11/23/2003,Texans,Patriots,0,0,0,0
11/23/2003,Vikings,Lions,0,0,0,0
11/23/2003,Cowboys,Panthers,0,0,0,0
11/23/2003,Dolphins,Redskins,0,0,0,0
11/23/2003,Chiefs,Raiders,0,0,0,0
11/23/2003,Cardinals,Rams,0,0,0,0
11/23/2003,Chargers,Bengals,0,0,0,0
11/23/2003,Falcons,Titans,0,0,0,0
11/23/2003,Eagles,Saints,0,0,0,0
11/23/2003,Ravens,Seahawks,0,0,0,0
11/24/2003,Buccaneers,Giants,0,0,0,0
11/27/2003,Cowboys,Dolphins,0,0,0,0
11/27/2003,Lions,Packers,0,0,0,0
11/30/2003,Giants,Bills,0,0,0,0
11/30/2003,Raiders,Broncos,0,0,0,0
11/30/2003,Panthers,Eagles,0,0,0,0
11/30/2003,Jaguars,Buccaneers,0,0,0,0
11/30/2003,Texans,Falcons,0,0,0,0
11/30/2003,Steelers,Bengals,0,0,0,0
11/30/2003,Redskins,Saints,0,0,0,0
11/30/2003,Chargers,Chiefs,0,0,0,0
11/30/2003,Bears,Cardinals,0,0,0,0
11/30/2003,Seahawks,Browns,0,0,0,0
11/30/2003,Colts,Patriots,0,0,0,0
11/30/2003,Ravens,49ers,0,0,0,0
11/30/2003,Rams,Vikings,0,0,0,0
12/1/2003,Jets,Titans,0,0,0,0
12/7/2003,Lions,Chargers,0,0,0,0
12/7/2003,Saints,Buccaneers,0,0,0,0
12/7/2003,Giants,Redskins,0,0,0,0
12/7/2003,Patriots,Dolphins,0,0,0,0
12/7/2003,Bills,Jets,0,0,0,0
12/7/2003,Falcons,Panthers,0,0,0,0
12/7/2003,Jaguars,Texans,0,0,0,0
12/7/2003,Steelers,Raiders,0,0,0,0
12/7/2003,Titans,Colts,0,0,0,0
12/7/2003,Ravens,Bengals,0,0,0,0
12/7/2003,Vikings,Seahawks,0,0,0,0
12/7/2003,Packers,Bears,0,0,0,0
12/7/2003,Eagles,Cowboys,0,0,0,0
12/7/2003,Broncos,Chiefs,0,0,0,0
12/7/2003,49ers,Cardinals,0,0,0,0
12/8/2003,Browns,Rams,0,0,0,0
12/14/2003,Redskins,Cowboys,0,0,0,0
12/14/2003,Jets,Steelers,0,0,0,0
12/14/2003,Bears,Vikings,0,0,0,0
12/14/2003,Buccaneers,Texans,0,0,0,0
12/14/2003,Cardinals,Panthers,0,0,0,0
12/14/2003,Raiders,Ravens,0,0,0,0
12/14/2003,Chargers,Packers,0,0,0,0
12/14/2003,Broncos,Browns,0,0,0,0
12/14/2003,Patriots,Jaguars,0,0,0,0
12/14/2003,Rams,Seahawks,0,0,0,0
12/14/2003,Titans,Bills,0,0,0,0
12/14/2003,Colts,Falcons,0,0,0,0
12/14/2003,Bengals,49ers,0,0,0,0
12/14/2003,Saints,Giants,0,0,0,0
12/14/2003,Chiefs,Lions,0,0,0,0
12/15/2003,Dolphins,Eagles,0,0,0,0
12/20/2003,Jets,Patriots,0,0,0,0
12/20/2003,Buccaneers,Falcons,0,0,0,0
12/20/2003,Vikings,Chiefs,0,0,0,0
12/21/2003,Browns,Ravens,0,0,0,0
12/21/2003,Bills,Dolphins,0,0,0,0
12/21/2003,Colts,Broncos,0,0,0,0
12/21/2003,Cowboys,Giants,0,0,0,0
12/21/2003,Panthers,Lions,0,0,0,0
12/21/2003,Jaguars,Saints,0,0,0,0
12/21/2003,Texans,Titans,0,0,0,0
12/21/2003,Rams,Bengals,0,0,0,0
12/21/2003,Bears,Redskins,0,0,0,0
12/21/2003,Seahawks,Cardinals,0,0,0,0
12/21/2003,Eagles,49ers,0,0,0,0
12/21/2003,Steelers,Chargers,0,0,0,0
12/22/2003,Raiders,Packers,0,0,0,0
12/27/2003,Redskins,Eagles,0,0,0,0
12/27/2003,49ers,Seahawks,0,0,0,0
12/27/2003,Patriots,Bills,0,0,0,0
12/28/2003,Saints,Cowboys,0,0,0,0
12/28/2003,Ravens,Steelers,0,0,0,0
12/28/2003,Bengals,Browns,0,0,0,0
12/28/2003,Texans,Colts,0,0,0,0
12/28/2003,Cardinals,Vikings,0,0,0,0
12/28/2003,Falcons,Jaguars,0,0,0,0
12/28/2003,Chargers,Raiders,0,0,0,0
12/28/2003,Dolphins,Jets,0,0,0,0
12/28/2003,Giants,Panthers,0,0,0,0
12/28/2003,Lions,Rams,0,0,0,0
12/28/2003,Chiefs,Bears,0,0,0,0
12/28/2003,Packers,Broncos,0,0,0,0
12/28/2003,Titans,Buccaneers,0,0,0,0
1/3/2004,Ravens,Titans,0,0,0,0
1/3/2004,Panthers,Cowboys,0,0,0,0
1/4/2004,Packers,Seahawks,0,0,0,0
1/4/2004,Colts,Broncos,0,0,0,0
1/10/2004,Patriots,Titans,0,0,0,0
1/10/2004,Rams,Panthers,0,0,0,0
1/11/2004,Eagles,Packers,0,0,0,0
1/11/2004,Chiefs,Colts,0,0,0,0
1/18/2004,Eagles,Panthers,0,0,0,0
1/18/2004,Patriots,Colts,0,0,0,0
2/1/2004,Patriots,Panthers,0,0,0,0
9/9/2004,Patriots,Colts,0,0,0,0
9/11/2004,Dolphins,Titans,0,0,0,0
9/12/2004,Saints,Seahawks,0,0,0,0
9/12/2004,Bills,Jaguars,0,0,0,0
9/12/2004,Redskins,Buccaneers,0,0,0,0
9/12/2004,Bears,Lions,0,0,0,0
9/12/2004,Rams,Cardinals,0,0,0,0
9/12/2004,49ers,Falcons,0,0,0,0
9/12/2004,Browns,Ravens,0,0,0,0
9/12/2004,Texans,Chargers,0,0,0,0
9/12/2004,Steelers,Raiders,0,0,0,0
9/12/2004,Eagles,Giants,0,0,0,0
9/12/2004,Jets,Bengals,0,0,0,0
9/12/2004,Broncos,Chiefs,0,0,0,0
9/12/2004,Vikings,Cowboys,0,0,0,0
9/13/2004,Panthers,Packers,0,0,0,0
9/19/2004,Buccaneers,Seahawks,0,0,0,0
9/19/2004,Jaguars,Broncos,0,0,0,0
9/19/2004,Packers,Bears,0,0,0,0
9/19/2004,Cardinals,Patriots,0,0,0,0
9/19/2004,Raiders,Bills,0,0,0,0
9/19/2004,Bengals,Dolphins,0,0,0,0
9/19/2004,Chiefs,Panthers,0,0,0,0
9/19/2004,Titans,Colts,0,0,0,0
9/19/2004,Cowboys,Browns,0,0,0,0
9/19/2004,Giants,Redskins,0,0,0,0
9/19/2004,Lions,Texans,0,0,0,0
