date,home,away,first_downs_opp_homeAvg,first_downs_homeAvg,third_downs_opp_homeAvg,third_downs_homeAvg,fourth_downs_opp_homeAvg,fourth_downs_homeAvg
9/29/2002,Packers,Panthers,18,17,4,2,0,2
9/29/2002,Cardinals,Giants,14,18,3,10,1,10
9/29/2002,Chargers,Patriots,25,14,7,6,1,6
9/29/2002,Lions,Saints,24,16,7,5,0,5
9/29/2002,Jaguars,Jets,18,20,5,4,0,4
9/29/2002,Bills,Bears,15,26,6,5,0,5
9/29/2002,Eagles,Texans,12,21,3,8,1,8
9/29/2002,Seahawks,Vikings,28,18,10,4,1,4
9/29/2002,Chiefs,Dolphins,28,25,1,5,0,5
9/29/2002,Raiders,Titans,23,24,6,3,0,3
9/30/2002,Ravens,Broncos,30,14,5,3,1,3
10/6/2002,Falcons,Buccaneers,15,14,4,3,1,3
10/6/2002,Panthers,Cardinals,18,12,6,4,0,4
10/6/2002,Titans,Redskins,25,17,8,2,0,2
10/6/2002,Cowboys,Giants,16,20,6,8,0,8
10/6/2002,Browns,Ravens,18,21,6,7,0,7
10/6/2002,Jets,Chiefs,24,23,5,6,0,6
10/6/2002,Broncos,Chargers,16,20,8,7,0,7
10/6/2002,Dolphins,Patriots,16,21,3,9,0,9
10/6/2002,Colts,Bengals,23,19,2,6,2,6
10/6/2002,Jaguars,Eagles,28,16,7,2,3,2
10/6/2002,Bills,Raiders,24,29,6,7,0,7
10/6/2002,Saints,Steelers,23,17,7,5,1,5
10/6/2002,49ers,Rams,19,21,4,4,3,4
10/7/2002,Bears,Packers,20,20,3,6,1,6
10/13/2002,Bengals,Steelers,21,18,7,8,0,8
10/13/2002,Giants,Falcons,15,18,8,6,0,6
10/13/2002,Patriots,Packers,20,20,5,6,1,6
10/13/2002,Cowboys,Panthers,14,17,5,3,0,3
10/13/2002,Buccaneers,Browns,11,22,6,6,0,6
10/13/2002,Colts,Ravens,15,19,4,3,1,3
10/13/2002,Broncos,Dolphins,16,27,5,6,0,6
10/13/2002,Titans,Jaguars,13,25,4,10,0,10
10/13/2002,Texans,Bills,25,18,6,3,0,3
10/13/2002,Redskins,Saints,16,20,6,4,0,4
10/13/2002,Rams,Raiders,20,19,3,4,0,4
10/13/2002,Vikings,Lions,17,22,4,5,1,5
10/13/2002,Chargers,Chiefs,17,27,4,6,0,6
10/14/2002,Seahawks,49ers,24,24,7,10,0,10
10/20/2002,Cardinals,Cowboys,14,22,2,9,0,9
10/20/2002,Dolphins,Bills,15,17,3,6,0,6
10/20/2002,Ravens,Jaguars,22,16,6,6,2,6
10/20/2002,Jets,Vikings,21,21,7,6,0,6
10/20/2002,Eagles,Buccaneers,15,14,3,4,0,4
10/20/2002,Raiders,Chargers,24,26,6,1,0,1
10/20/2002,Lions,Bears,17,23,6,3,0,3
10/20/2002,Falcons,Panthers,12,25,3,5,0,5
10/20/2002,Packers,Redskins,19,19,3,4,0,4
10/20/2002,Browns,Texans,17,14,8,3,0,3
10/20/2002,Chiefs,Broncos,22,24,5,4,2,4
10/20/2002,Saints,49ers,26,27,9,10,0,10
10/20/2002,Rams,Seahawks,13,28,2,8,0,8
10/21/2002,Steelers,Colts,23,22,8,3,2,3
10/27/2002,Panthers,Buccaneers,14,9,7,1,0,1
10/27/2002,Cowboys,Seahawks,18,17,10,3,0,3
10/27/2002,Patriots,Broncos,23,16,8,3,0,3
10/27/2002,Ravens,Steelers,16,26,5,8,0,8
10/27/2002,Jaguars,Texans,12,18,3,6,0,6
10/27/2002,Chiefs,Raiders,26,22,3,6,0,6
10/27/2002,Jets,Browns,18,14,9,3,1,3
10/27/2002,Bills,Lions,16,23,5,6,0,6
10/27/2002,Bengals,Titans,20,22,4,5,0,5
10/27/2002,Vikings,Bears,12,24,3,7,0,7
10/27/2002,Redskins,Colts,18,23,6,8,0,8
10/27/2002,Saints,Falcons,28,22,7,2,0,2
10/27/2002,49ers,Cardinals,23,18,9,6,1,6
10/28/2002,Eagles,Giants,18,21,3,8,1,8
11/3/2002,Seahawks,Redskins,16,21,6,6,0,6
11/3/2002,Texans,Bengals,25,22,6,5,0,5
11/3/2002,Bills,Patriots,23,28,8,4,1,4
11/3/2002,Lions,Cowboys,17,8,5,2,1,2
11/3/2002,Bears,Eagles,23,18,5,1,1,1
11/3/2002,Chargers,Jets,21,15,7,1,0,1
11/3/2002,Cardinals,Rams,23,13,6,5,0,5
11/3/2002,Colts,Titans,13,25,3,4,0,4
11/3/2002,Falcons,Ravens,15,14,8,5,0,5
11/3/2002,Browns,Steelers,25,9,10,2,1,2
11/3/2002,Raiders,49ers,30,15,13,5,1,5
11/3/2002,Giants,Jaguars,16,26,5,5,3,5
11/3/2002,Buccaneers,Vikings,22,27,6,6,0,6
11/4/2002,Packers,Dolphins,25,16,3,4,1,4
11/10/2002,Cardinals,Seahawks,27,19,8,5,0,5
11/10/2002,Jets,Dolphins,15,19,3,2,0,2
11/10/2002,Eagles,Colts,18,21,7,4,0,4
11/10/2002,Titans,Texans,13,15,4,3,1,3
11/10/2002,49ers,Chiefs,14,22,4,11,0,11
11/10/2002,Vikings,Giants,26,17,1,0,0,0
11/10/2002,Panthers,Saints,17,21,4,4,0,4
11/10/2002,Jaguars,Redskins,23,18,3,6,1,6
11/10/2002,Rams,Chargers,15,25,3,4,1,4
11/10/2002,Bears,Patriots,19,14,6,5,3,5
11/10/2002,Steelers,Falcons,21,30,9,6,0,6
11/10/2002,Ravens,Bengals,20,21,7,4,0,4
11/10/2002,Packers,Lions,13,24,1,8,1,8
11/11/2002,Broncos,Raiders,20,27,6,5,0,5
11/17/2002,Seahawks,Broncos,22,13,4,4,2,4
11/17/2002,Lions,Jets,26,13,8,4,0,4
11/17/2002,Chiefs,Bills,21,22,7,4,0,4
11/17/2002,Giants,Redskins,12,21,3,6,1,6
11/17/2002,Colts,Cowboys,11,20,1,6,0,6
11/17/2002,Chargers,49ers,21,26,8,4,1,4
11/17/2002,Bengals,Browns,22,14,11,5,0,5
11/17/2002,Texans,Jaguars,16,18,4,2,1,2
11/17/2002,Buccaneers,Panthers,14,19,4,7,1,7
11/17/2002,Falcons,Saints,16,22,5,6,1,6
11/17/2002,Dolphins,Ravens,10,17,2,6,1,6
11/17/2002,Raiders,Patriots,12,22,4,7,0,7
11/17/2002,Vikings,Packers,18,24,3,4,1,4
11/17/2002,Titans,Steelers,20,22,5,12,1,12
11/17/2002,Eagles,Cardinals,15,26,7,7,1,7
11/18/2002,Rams,Bears,16,21,3,6,1,6
11/24/2002,Panthers,Falcons,25,10,7,2,0,2
11/24/2002,Ravens,Titans,19,12,7,2,0,2
11/24/2002,Saints,Browns,17,19,5,3,0,3
11/24/2002,Texans,Giants,19,12,6,4,0,4
11/24/2002,Bears,Lions,19,21,7,5,1,5
11/24/2002,Redskins,Rams,25,21,9,7,0,7
11/24/2002,Broncos,Colts,26,15,15,5,1,5
11/24/2002,Cardinals,Raiders,28,15,4,2,1,2
11/24/2002,Buccaneers,Packers,15,14,4,2,1,2
11/24/2002,Cowboys,Jaguars,19,21,5,2,2,2
11/24/2002,Patriots,Vikings,26,20,7,6,0,6
11/24/2002,Steelers,Bengals,17,21,7,3,1,3
11/24/2002,Dolphins,Chargers,12,24,2,5,0,5
11/24/2002,Jets,Bills,17,22,4,7,1,7
11/24/2002,Seahawks,Chiefs,32,32,1,6,0,6
11/25/2002,49ers,Eagles,19,24,4,9,0,9
11/28/2002,Lions,Patriots,23,14,9,6,0,6
11/28/2002,Cowboys,Redskins,16,19,3,3,1,3
12/1/2002,Browns,Panthers,11,14,5,4,1,4
12/1/2002,Eagles,Rams,13,12,6,5,0,5
12/1/2002,Colts,Texans,10,13,2,4,0,4
12/1/2002,Saints,Buccaneers,17,14,2,9,3,9
12/1/2002,Jaguars,Steelers,23,13,2,3,1,3
12/1/2002,Bengals,Ravens,15,25,6,6,1,6
12/1/2002,Vikings,Falcons,19,21,3,7,0,7
12/1/2002,Giants,Titans,31,24,7,4,2,4
12/1/2002,Packers,Bears,19,26,3,6,2,6
12/1/2002,Chargers,Broncos,20,25,2,7,1,7
12/1/2002,49ers,Seahawks,25,21,8,9,0,9
12/1/2002,Bills,Dolphins,14,21,4,8,0,8
12/1/2002,Chiefs,Cardinals,10,27,5,7,0,7
12/2/2002,Raiders,Jets,18,25,1,8,0,8
12/8/2002,Steelers,Texans,3,24,1,8,0,8
12/8/2002,Chargers,Raiders,22,19,9,5,0,5
12/8/2002,Jets,Broncos,21,18,9,7,0,7
12/8/2002,Jaguars,Browns,21,13,7,2,0,2
12/8/2002,Seahawks,Eagles,20,24,6,3,0,3
12/8/2002,Redskins,Giants,16,23,5,8,0,8
12/8/2002,Cardinals,Lions,15,21,2,6,0,6
12/8/2002,Ravens,Saints,22,19,7,4,3,4
12/8/2002,Packers,Vikings,15,20,2,7,0,7
12/8/2002,Titans,Colts,22,18,9,8,2,8
12/8/2002,Patriots,Bills,24,14,10,4,0,4
12/8/2002,Cowboys,49ers,26,10,10,5,1,5
12/8/2002,Buccaneers,Falcons,10,22,3,7,1,7
12/8/2002,Chiefs,Rams,16,21,3,3,0,3
12/8/2002,Panthers,Bengals,25,23,6,5,0,5
12/9/2002,Dolphins,Bears,12,22,2,7,0,7
12/15/2002,49ers,Packers,21,16,9,6,0,6
12/15/2002,Bengals,Jaguars,20,19,3,7,2,7
12/15/2002,Texans,Ravens,16,15,6,7,0,7
12/15/2002,Bills,Chargers,14,17,5,2,0,2
12/15/2002,Bears,Jets,19,20,4,6,1,6
12/15/2002,Lions,Buccaneers,22,15,6,3,0,3
12/15/2002,Dolphins,Raiders,14,21,2,6,0,6
12/15/2002,Browns,Colts,20,18,6,4,2,4
12/15/2002,Falcons,Seahawks,25,21,8,6,0,6
12/15/2002,Steelers,Panthers,11,19,5,10,0,10
12/15/2002,Rams,Cardinals,20,20,7,5,0,5
12/15/2002,Broncos,Chiefs,22,24,6,5,2,5
12/15/2002,Saints,Vikings,22,18,8,7,0,7
12/15/2002,Eagles,Redskins,16,15,3,4,2,4
12/15/2002,Giants,Cowboys,14,20,2,2,0,2
12/16/2002,Titans,Patriots,11,20,2,8,0,8
12/21/2002,Cowboys,Eagles,17,9,8,0,0,0
12/21/2002,Cardinals,49ers,21,14,11,7,1,7
12/21/2002,Vikings,Dolphins,13,21,1,8,0,8
12/22/2002,Packers,Bills,17,14,3,5,0,5
12/22/2002,Jaguars,Titans,20,13,4,0,0,0
12/22/2002,Ravens,Browns,19,16,5,7,1,7
12/22/2002,Patriots,Jets,19,14,6,6,0,6
12/22/2002,Bengals,Saints,11,25,2,7,0,7
12/22/2002,Panthers,Bears,8,15,4,5,0,5
12/22/2002,Chiefs,Chargers,20,19,2,7,0,7
12/22/2002,Redskins,Texans,10,27,4,7,0,7
12/22/2002,Colts,Giants,24,20,8,4,0,4
12/22/2002,Raiders,Broncos,21,20,1,8,2,8
12/22/2002,Seahawks,Rams,17,26,8,7,0,7
12/22/2002,Falcons,Lions,12,27,4,6,1,6
12/23/2002,Buccaneers,Steelers,19,18,7,2,0,2
12/28/2002,Giants,Eagles,9,23,3,6,0,6
12/28/2002,Raiders,Chiefs,11,26,4,8,1,8
12/29/2002,Bears,Buccaneers,15,14,7,4,0,4
12/29/2002,Texans,Titans,15,16,4,7,0,7
12/29/2002,Saints,Panthers,13,13,3,4,1,4
12/29/2002,Colts,Jaguars,20,18,6,5,0,5
12/29/2002,Redskins,Cowboys,8,18,1,9,1,9
12/29/2002,Browns,Falcons,16,17,8,6,0,6
12/29/2002,Bills,Bengals,19,23,1,8,0,8
12/29/2002,Patriots,Dolphins,20,20,3,7,0,7
12/29/2002,Chargers,Seahawks,34,24,8,6,1,6
12/29/2002,Steelers,Ravens,21,25,6,8,0,8
12/29/2002,Lions,Vikings,24,20,7,7,1,7
12/29/2002,Broncos,Cardinals,18,24,4,5,0,5
12/29/2002,Jets,Packers,19,22,4,8,2,8
12/30/2002,Rams,49ers,19,16,6,2,0,2
1/4/2003,Packers,Falcons,21,17,8,8,0,8
1/4/2003,Jets,Colts,10,26,5,6,0,6
1/5/2003,Steelers,Browns,21,30,8,3,0,3
1/5/2003,49ers,Giants,26,23,6,6,0,6
1/11/2003,Eagles,Falcons,19,15,7,4,0,4
1/11/2003,Titans,Steelers,21,29,4,12,0,12
1/12/2003,Raiders,Jets,20,20,7,5,1,5
1/12/2003,Buccaneers,49ers,14,21,3,10,1,10
1/19/2003,Eagles,Buccaneers,15,20,6,5,0,5
1/19/2003,Raiders,Titans,28,25,6,4,0,4
1/26/2003,Buccaneers,Raiders,11,24,7,6,0,6
9/4/2003,Redskins,Jets,11,17,3,3,1,3
9/7/2003,Browns,Colts,18,18,7,4,0,4
9/7/2003,Bengals,Broncos,19,15,6,3,0,3
9/7/2003,Cowboys,Falcons,17,16,4,5,0,5
9/7/2003,Dolphins,Texans,16,14,6,5,0,5
9/7/2003,Giants,Rams,18,15,5,5,1,5
9/7/2003,Panthers,Jaguars,17,17,4,4,0,4
9/7/2003,Titans,Raiders,13,20,1,5,0,5
9/7/2003,Packers,Vikings,21,22,8,5,0,5
9/7/2003,Seahawks,Saints,20,17,10,3,0,3
9/7/2003,Chiefs,Chargers,13,19,3,6,0,6
9/7/2003,Bills,Patriots,16,23,4,7,0,7
9/7/2003,Steelers,Ravens,17,21,5,7,1,7
9/7/2003,Lions,Cardinals,21,16,9,6,0,6
9/7/2003,49ers,Bears,8,23,3,8,0,8
9/8/2003,Eagles,Buccaneers,19,13,9,2,0,2
9/14/2003,Cardinals,Seahawks,16,18,6,10,0,10
9/14/2003,Buccaneers,Panthers,14.75747226,18.45543025,4.751090064,5.425568515,2.152267969,3.266774153
9/14/2003,Jets,Dolphins,23,17,4,7,0,7
9/14/2003,Eagles,Patriots,17,23,4,3,1,3
9/14/2003,Chargers,Broncos,24,19,4,1,1,1
9/14/2003,Jaguars,Bills,20,20,8,4,1,4
9/14/2003,Raiders,Bengals,20.67263787,21.79011529,4.970155643,5.704059745,2.700939088,3.132751994
9/14/2003,Vikings,Bears,10,25,2,9,0,9
9/14/2003,Rams,49ers,20,21,4,6,2,6
9/14/2003,Packers,Lions,14,17,6,6,1,6
9/14/2003,Saints,Texans,16,12,4,8,2,8
9/14/2003,Falcons,Redskins,23,17,5,1,0,1
9/14/2003,Colts,Titans,14,20,4,3,1,3
9/14/2003,Ravens,Browns,9,14,4,4,0,4
9/14/2003,Chiefs,Steelers,16,19,6,5,0,5
9/15/2003,Giants,Cowboys,24,20,5,8,0,8
9/21/2003,Bengals,Steelers,22,11,8,3,2,3
9/21/2003,Chargers,Ravens,16,25,3,6,0,6
9/21/2003,Falcons,Buccaneers,17.40116454,19.25750564,5.359111504,5.571091083,3.74155119,1.7999075
9/21/2003,49ers,Browns,17.36482586,21.40373194,5.720630385,7.649125221,2.918219333,4.654662228
9/21/2003,Lions,Vikings,14,22,5,6,0,6
9/21/2003,Texans,Chiefs,27,20,7,4,0,4
9/21/2003,Dolphins,Bills,8,23,1,6,0,6
9/21/2003,Cardinals,Packers,18,21,4,8,0,8
9/21/2003,Redskins,Giants,25,25,1,7,0,7
9/21/2003,Colts,Jaguars,15,17,5,7,0,7
9/21/2003,Patriots,Jets,16,19,1,5,0,5
9/21/2003,Seahawks,Rams,19,20,5,7,0,7
9/21/2003,Titans,Saints,17.8130501,20.68881089,3.845251337,6.10895419,1.746325294,4.041908056
9/22/2003,Broncos,Raiders,11,20,4,6,1,6
9/28/2003,Jets,Cowboys,18.93766036,17.77688634,4.883406431,5.211983783,2.337234399,3.355536271
9/28/2003,Ravens,Chiefs,15,22,4,5,0,5
9/28/2003,Bills,Eagles,19,15,9,6,0,6
9/28/2003,Steelers,Titans,18.11426824,20.96163907,6.042409014,5.984256262,3.178397094,3.324313808
9/28/2003,Browns,Bengals,17.77224633,16.18288515,5.475107548,5.181016591,2.326345334,2.046190179
9/28/2003,Broncos,Lions,16,20,7,4,1,4
9/28/2003,Redskins,Patriots,23,15,7,3,0,3
9/28/2003,Saints,Colts,20,20,7,6,0,6
9/28/2003,Panthers,Falcons,11,19,2,8,0,8
9/28/2003,Texans,Jaguars,15,21,2,7,1,7
9/28/2003,Raiders,Chargers,21.98090203,18.44740107,5.781139338,4.116430767,2.603397825,2.419311923
9/28/2003,Vikings,49ers,18,19,6,5,1,5
9/28/2003,Rams,Cardinals,7,34,0,11,2,11
9/29/2003,Bears,Packers,20,23,5,5,0,5
10/5/2003,Giants,Dolphins,18.58236462,19.71093973,5.018243831,5.684542785,2.346117879,4.006655231
10/5/2003,Steelers,Browns,16.79268531,21.29225439,5.424778274,6.345742559,3.227949456,3.102089522
10/5/2003,Panthers,Saints,17,21,8,8,0,8
10/5/2003,Bills,Bengals,19.11490812,19.49363592,4.691985918,5.46376762,2.922619925,2.807072362
10/5/2003,Cowboys,Cardinals,9,18,3,6,0,6
10/5/2003,49ers,Lions,18.14789766,20.47442001,6.214184919,6.765132908,2.857419331,4.336075959
10/5/2003,Bears,Raiders,18,18,5,4,0,4
10/5/2003,Chiefs,Broncos,19.74830621,21.50511732,4.916222046,5.365482561,2.522281848,3.226827822
10/5/2003,Falcons,Vikings,18.17017212,17.8862343,5.06463845,4.534899696,2.588002613,1.830868886
10/5/2003,Jaguars,Chargers,19.19448923,17.18156177,5.658761426,4.303266296,3.465398018,1.930123021
10/5/2003,Eagles,Redskins,17.26175412,18.56810541,5.13145575,4.363568506,1.314394456,2.980684622
10/5/2003,Packers,Seahawks,18.52277796,19.01009293,5.737364589,5.280859997,2.937779865,3.476381654
10/5/2003,Patriots,Titans,20.21710938,17.99805028,4.889551197,5.109664529,3.13574186,2.703531316
10/6/2003,Buccaneers,Colts,14.25224838,19.67484512,4.055534571,6.388422105,1.770307375,3.521375496
10/12/2003,Jaguars,Dolphins,19.48453581,16.82308658,5.783853145,3.88681831,4.057300151,1.664130817
10/12/2003,Browns,Raiders,16.9162332,16.84146423,5.852581768,5.740402323,2.463555902,2.1038816
10/12/2003,Redskins,Buccaneers,18.40193359,19.56325402,3.866106191,4.900779909,1.363422753,3.457913007
10/12/2003,Patriots,Giants,19.45457184,18.69046613,4.630855827,5.390018071,3.140266221,2.256443772
10/12/2003,Broncos,Steelers,16.93109003,21.50916658,4.926145944,4.963832538,2.241827151,2.889670209
10/12/2003,Cardinals,Ravens,21.22336331,16.87033997,6.234350389,6.436693134,3.656194398,4.299574566
10/12/2003,Saints,Bears,20.37869539,16.61482459,5.453731603,6.11239208,3.021205737,3.498910657
10/12/2003,Seahawks,49ers,20.64216915,20.21804795,7.161042465,5.713805861,3.376940276,3.136109955
10/12/2003,Colts,Panthers,17.41683203,18.86341298,4.712190569,6.127859619,2.854186903,2.561949217
10/12/2003,Cowboys,Eagles,17.80368257,16.81859453,5.782450449,4.266556836,3.541835695,1.712608524
10/12/2003,Jets,Bills,18.82368781,17.71382757,4.776582293,4.657019765,2.761387779,2.888979098
10/12/2003,Packers,Chiefs,19.22864032,19.17604016,5.602605713,5.289870708,3.148762634,3.047057297
10/12/2003,Titans,Texans,18.1053228,19.32765136,3.478952351,5.700326895,1.998445864,3.656302284
10/13/2003,Rams,Falcons,18.11416779,19.46946736,4.953182282,5.223305758,3.525823765,2.406371763
10/19/2003,Lions,Cowboys,19.91546484,16.21336047,6.224201152,5.221327811,2.644723647,3.055397694
10/19/2003,Giants,Eagles,19.06789712,21.28666695,5.653304379,4.559148097,2.677149448,3.284402564
10/19/2003,Dolphins,Patriots,17.12268817,18.96136132,4.164732809,5.127227557,2.803847852,2.836271563
10/19/2003,Texans,Jets,17.8034483,15.96684058,5.435021241,4.662478825,3.196174225,2.923545925
10/19/2003,Panthers,Titans,17.24261399,16.48399718,5.288140464,5.165094924,2.224348102,3.716570577
10/19/2003,Falcons,Saints,18.19999689,17.50381505,5.320012284,4.037217528,3.0179096,1.665118663
10/19/2003,Browns,Chargers,16.20698447,17.34429458,5.263609819,5.862713435,2.257812062,1.865976491
10/19/2003,Bills,Redskins,18.73634009,18.3186762,5.436320293,5.200519926,2.121893906,3.225129928
10/19/2003,49ers,Buccaneers,17.94727954,20.0587257,5.60054,6.642186082,2.807740698,4.106701654
10/19/2003,Seahawks,Bears,21.46788885,20.77099157,6.98895949,5.706273688,3.696315438,2.686222963
10/19/2003,Vikings,Broncos,18.66118305,20.67820765,4.6859555,6.31173168,3.069424215,3.1847465
10/19/2003,Rams,Packers,16.481901,21.70257322,4.288011821,6.120668344,3.334137548,3.72198816
10/19/2003,Bengals,Ravens,18.43639572,18.71873038,5.206018272,5.81669116,2.570955656,2.139620405
10/20/2003,Raiders,Chiefs,21.13129837,17.79766487,5.242447125,4.332768593,2.923423237,2.348638302
10/26/2003,Patriots,Browns,20.85322957,17.88983308,5.130022743,4.787574348,2.58567633,2.450557289
10/26/2003,Buccaneers,Cowboys,15.92030135,21.12232079,4.749095415,6.165805284,2.886469542,3.087430551
10/26/2003,Cardinals,49ers,20.69554511,15.76883262,6.246681873,5.982546835,3.965016489,3.80511904
10/26/2003,Vikings,Giants,18.83181178,19.84624026,4.472593657,5.987209286,3.120323837,2.681401413
10/26/2003,Jaguars,Titans,19.7171777,17.34146772,5.674332356,4.109657932,3.474266546,2.259529317
10/26/2003,Saints,Panthers,19.93739904,16.81979979,5.612416,6.723382643,3.367988081,3.766082031
10/26/2003,Steelers,Rams,16.56285319,20.38433174,5.342280159,5.364164175,2.426738533,2.946292237
10/26/2003,Bears,Lions,20.57767575,15.5270704,6.541169586,3.847195764,4.450157892,2.248672341
10/26/2003,Eagles,Jets,17.241364,17.68100708,5.310204024,5.139241536,2.348219204,2.689464631
10/26/2003,Ravens,Broncos,18.30083169,16.51232117,5.096043025,4.695090947,3.18086389,2.215590391
10/26/2003,Bengals,Seahawks,18.3104095,18.43948547,4.932506506,5.778824418,2.600674353,1.893403073
10/26/2003,Colts,Texans,18.57488913,19.60460362,4.917915926,5.98025552,3.270101605,2.538404606
10/26/2003,Chiefs,Bills,20.62178991,19.81239589,4.994151255,5.358614246,2.842815613,2.485606897
10/27/2003,Chargers,Dolphins,21.16141489,19.8438788,5.098572214,4.050176691,3.244421401,1.978806038
11/2/2003,Texans,Panthers,18.41032405,17.35364503,5.212690116,4.214991581,3.053850793,2.604561458
11/2/2003,Buccaneers,Saints,16.76073983,20.23155755,4.510466501,5.780541365,2.955811095,2.775388823
11/2/2003,Falcons,Eagles,19.15714902,16.51392258,5.389714245,3.954595118,3.323587988,1.494436115
11/2/2003,Cardinals,Bengals,19.76750908,15.81160999,6.077654817,5.467833953,3.543048806,3.522133861
11/2/2003,Dolphins,Colts,17.44821358,18.72650641,4.894976749,4.831140024,3.097851407,2.627743091
11/2/2003,Bears,Chargers,20.80400035,15.86958746,6.391180189,4.081652492,4.599318241,2.15016734
11/2/2003,Cowboys,Redskins,15.08401744,17.9013052,5.348600865,4.702972309,3.074281071,2.554326418
11/2/2003,Lions,Raiders,20.53930403,15.25545173,5.992002409,4.921131088,2.876876806,2.993652057
11/2/2003,Seahawks,Steelers,20.90157785,21.11193514,6.617630637,5.958413393,3.012952995,3.659213673
11/2/2003,Ravens,Jaguars,17.91559687,17.13257791,5.341033776,4.382589672,3.709520836,2.04563422
11/2/2003,Vikings,Packers,19.85930182,19.21951373,4.255924993,5.675818872,2.776168483,2.734624269
11/2/2003,Jets,Giants,17.88327836,16.85252598,4.82013424,4.53165479,2.239988748,2.926752102
11/2/2003,49ers,Rams,17.55787389,19.98314786,5.408210085,5.996658209,2.911380931,3.678219796
11/3/2003,Broncos,Patriots,16.20313451,21.32511896,4.35552075,4.437164899,2.317821939,2.216030486
11/9/2003,Giants,Falcons,17.69220794,22.99167484,4.677230048,4.983342644,2.176119569,2.979376887
11/9/2003,Cowboys,Bills,14.89038364,16.8625468,5.31314461,4.496411424,3.270146277,2.294525436
11/9/2003,Lions,Bears,19.70067956,15.33179473,6.214705498,4.809870949,3.536669684,2.721986794
11/9/2003,Raiders,Jets,20.36057073,17.6779953,5.15626959,4.236400767,2.922312255,2.566105693
11/9/2003,Redskins,Seahawks,19.77565789,18.36662897,4.18453293,5.025088216,1.838132124,3.652656367
11/9/2003,Panthers,Buccaneers,17.65225796,17.1078183,4.788160381,5.033879276,2.185411891,3.032174742
11/9/2003,Steelers,Cardinals,17.35621179,18.86982605,4.839517786,4.716437934,2.121239268,2.665183409
11/9/2003,Jaguars,Colts,19.5794975,17.55986753,5.754122273,4.689500575,2.856786358,3.204066217
11/9/2003,Titans,Dolphins,19.03585973,19.3964892,3.564117748,5.557662093,2.484173633,3.196376366
11/9/2003,Rams,Ravens,15.66862959,22.84180891,3.813847126,5.930891041,2.529904965,3.833073337
11/9/2003,Bengals,Texans,19.32740268,18.58645629,4.975274537,6.141801208,2.229604478,3.121427849
