date,home,away,passing_yards_homeAvg,passing_yards_opp_homeAvg,pass_completion_rate_opp_homeAvg,pass_completion_rate_homeAvg
9/22/2002,Dolphins,Jets,183,131,0.571428571,0.533333333
9/22/2002,Falcons,Bengals,163,125,0.428571429,0.615384615
9/22/2002,Lions,Packers,176,347,0.659574468,0.428571429
9/22/2002,Patriots,Chiefs,399,128,0.64,0.709090909
9/22/2002,Eagles,Cowboys,294,183,0.6,0.65
9/23/2002,Buccaneers,Rams,189,269,0.666666667,0.71875
9/29/2002,Bengals,Buccaneers,94,262,0.633333333,0.363636364
9/29/2002,Rams,Cowboys,273,193,0.722222222,0.625
9/29/2002,Steelers,Browns,265,122,0.551724138,0.666666667
9/29/2002,Packers,Panthers,199,193,0.416666667,0.575757576
9/29/2002,Cardinals,Giants,161,196,0.527777778,0.71875
9/29/2002,Chargers,Patriots,104,353,0.679245283,0.555555556
9/29/2002,Lions,Saints,267,247,0.5625,0.571428571
9/29/2002,Jaguars,Jets,160,267,0.538461538,0.666666667
9/29/2002,Bills,Bears,307,188,0.612903226,0.777777778
9/29/2002,Eagles,Texans,289,151,0.551724138,0.568181818
9/29/2002,Seahawks,Vikings,222,249,0.547169811,0.464285714
9/29/2002,Chiefs,Dolphins,328,294,0.644444444,0.705882353
9/29/2002,Raiders,Titans,374,387,0.695652174,0.743589744
9/30/2002,Ravens,Broncos,146,306,0.648148148,0.541666667
10/6/2002,Falcons,Buccaneers,173,253,0.548387097,0.447368421
10/6/2002,Panthers,Cardinals,186,221,0.45,0.588235294
10/6/2002,Titans,Redskins,230,286,0.578947368,0.615384615
10/6/2002,Cowboys,Giants,245,212,0.666666667,0.547619048
10/6/2002,Browns,Ravens,371,208,0.633333333,0.591836735
10/6/2002,Jets,Chiefs,212,289,0.696969697,0.75862069
10/6/2002,Broncos,Chargers,300,235,0.619047619,0.742857143
10/6/2002,Dolphins,Patriots,182,208,0.548387097,0.62962963
10/6/2002,Colts,Bengals,224,237,0.720930233,0.617647059
10/6/2002,Jaguars,Eagles,197,207,0.583333333,0.565217391
10/6/2002,Bills,Raiders,399,353,0.605263158,0.603773585
10/6/2002,Saints,Steelers,194,244,0.578947368,0.565217391
10/6/2002,49ers,Rams,207,225,0.575,0.666666667
10/7/2002,Bears,Packers,335,333,0.666666667,0.54
10/13/2002,Bengals,Steelers,190,197,0.64,0.657142857
10/13/2002,Giants,Falcons,190,246,0.76,0.64516129
10/13/2002,Patriots,Packers,166,143,0.62962963,0.545454545
10/13/2002,Cowboys,Panthers,174,198,0.592592593,0.46875
10/13/2002,Buccaneers,Browns,194,134,0.5,0.46875
10/13/2002,Colts,Ravens,257,139,0.535714286,0.75
10/13/2002,Broncos,Dolphins,299,201,0.655172414,0.586956522
10/13/2002,Titans,Jaguars,218,68,0.538461538,0.722222222
10/13/2002,Texans,Bills,197,230,0.575757576,0.541666667
10/13/2002,Redskins,Saints,264,192,0.52173913,0.488372093
10/13/2002,Rams,Raiders,164,302,0.666666667,0.666666667
10/13/2002,Vikings,Lions,291,301,0.609756098,0.75
10/13/2002,Chargers,Chiefs,312,231,0.586206897,0.682926829
10/14/2002,Seahawks,49ers,211,190,0.551724138,0.677419355
10/20/2002,Cardinals,Cowboys,228,194,0.590909091,0.5
10/20/2002,Dolphins,Bills,155,162,0.483870968,0.393939394
10/20/2002,Ravens,Jaguars,143,224,0.52173913,0.5
10/20/2002,Jets,Vikings,316,288,0.666666667,0.827586207
10/20/2002,Eagles,Buccaneers,110,126,0.605263158,0.48
10/20/2002,Raiders,Chargers,353,161,0.64,0.777777778
10/20/2002,Lions,Bears,170,135,0.64,0.551724138
10/20/2002,Falcons,Panthers,206,104,0.346153846,0.740740741
10/20/2002,Packers,Redskins,155,92,0.416666667,0.689655172
10/20/2002,Browns,Texans,141,265,0.621621622,0.677419355
10/20/2002,Chiefs,Broncos,143,366,0.6,0.606060606
10/20/2002,Saints,49ers,243,275,0.58974359,0.657142857
10/20/2002,Rams,Seahawks,260,240,0.333333333,0.55
10/21/2002,Steelers,Colts,182,295,0.666666667,0.652173913
10/27/2002,Panthers,Buccaneers,20,155,0.676470588,0.277777778
10/27/2002,Cowboys,Seahawks,132,170,0.612903226,0.5
10/27/2002,Patriots,Broncos,110,215,0.782608696,0.517241379
10/27/2002,Ravens,Steelers,293,179,0.76,0.568627451
10/27/2002,Jaguars,Texans,164,161,0.611111111,0.470588235
10/27/2002,Chiefs,Raiders,190,334,0.636363636,0.6
10/27/2002,Jets,Browns,175,279,0.666666667,0.703703704
10/27/2002,Bills,Lions,269,199,0.476190476,0.583333333
10/27/2002,Bengals,Titans,193,208,0.592592593,0.739130435
10/27/2002,Vikings,Bears,216,174,0.516129032,0.733333333
10/27/2002,Redskins,Colts,205,195,0.65625,0.472222222
10/27/2002,Saints,Falcons,192,186,0.64,0.457142857
10/27/2002,49ers,Cardinals,252,269,0.666666667,0.642857143
10/28/2002,Eagles,Giants,127,245,0.588235294,0.466666667
11/3/2002,Seahawks,Redskins,240,113,0.37037037,0.636363636
11/3/2002,Texans,Bengals,186,263,0.814814815,0.5625
11/3/2002,Bills,Patriots,266,263,0.846153846,0.622222222
11/3/2002,Lions,Cowboys,96,150,0.564102564,0.424242424
11/3/2002,Bears,Eagles,186,192,0.545454545,0.513513514
11/3/2002,Chargers,Jets,170,248,0.756756757,0.628571429
11/3/2002,Cardinals,Rams,171,223,0.689655172,0.633333333
11/3/2002,Colts,Titans,298,77,0.736842105,0.74
11/3/2002,Falcons,Ravens,115,187,0.5,0.5
11/3/2002,Browns,Steelers,157,255,0.568181818,0.625
11/3/2002,Raiders,49ers,158,282,0.694444444,0.642857143
11/3/2002,Giants,Jaguars,217,203,0.605263158,0.714285714
11/3/2002,Buccaneers,Vikings,313,214,0.620689655,0.774193548
11/4/2002,Packers,Dolphins,166,163,0.523809524,0.62962963
11/10/2002,Cardinals,Seahawks,226,255,0.741935484,0.586206897
11/10/2002,Jets,Dolphins,167,210,0.678571429,0.62962963
11/10/2002,Eagles,Colts,269,319,0.782608696,0.5625
11/10/2002,Titans,Texans,109,165,0.558823529,0.476190476
11/10/2002,49ers,Chiefs,168,176,0.555555556,0.714285714
11/10/2002,Vikings,Giants,132,291,0.714285714,0.461538462
11/10/2002,Panthers,Saints,296,248,0.526315789,0.575
11/10/2002,Jaguars,Redskins,167,239,0.529411765,0.655172414
11/10/2002,Rams,Chargers,453,130,0.6,0.75
11/10/2002,Bears,Patriots,174,315,0.654545455,0.533333333
11/10/2002,Steelers,Falcons,463,279,0.52173913,0.682926829
11/10/2002,Ravens,Bengals,163,249,0.682926829,0.666666667
11/10/2002,Packers,Lions,353,236,0.454545455,0.69047619
11/11/2002,Broncos,Raiders,265,347,0.894736842,0.723404255
11/17/2002,Seahawks,Broncos,153,199,0.655172414,0.611111111
11/17/2002,Lions,Jets,171,219,0.807692308,0.5
11/17/2002,Chiefs,Bills,192,211,0.666666667,0.6
11/17/2002,Giants,Redskins,211,106,0.428571429,0.47826087
11/17/2002,Colts,Cowboys,252,94,0.47826087,0.763157895
11/17/2002,Chargers,49ers,336,331,0.581395349,0.58
11/17/2002,Bengals,Browns,248,242,0.611111111,0.566666667
11/17/2002,Texans,Jaguars,194,199,0.6,0.733333333
11/17/2002,Buccaneers,Panthers,247,168,0.578947368,0.55
11/17/2002,Falcons,Saints,137,264,0.64516129,0.47826087
11/17/2002,Dolphins,Ravens,221,91,0.5,0.692307692
11/17/2002,Raiders,Patriots,289,147,0.6,0.684210526
11/17/2002,Vikings,Packers,207,296,0.558139535,0.5
11/17/2002,Titans,Steelers,257,312,0.6,0.545454545
11/17/2002,Eagles,Cardinals,250,124,0.571428571,0.8
11/18/2002,Rams,Bears,327,117,0.571428571,0.594594595
11/24/2002,Panthers,Falcons,51,277,0.8,0.5
11/24/2002,Ravens,Titans,87,281,0.5,0.458333333
11/24/2002,Saints,Browns,309,176,0.545454545,0.575
11/24/2002,Texans,Giants,89,201,0.43902439,0.434782609
11/24/2002,Bears,Lions,347,199,0.525,0.607843137
11/24/2002,Redskins,Rams,235,280,0.693877551,0.666666667
11/24/2002,Broncos,Colts,172,216,0.613636364,0.625
11/24/2002,Cardinals,Raiders,131,333,0.6,0.470588235
11/24/2002,Buccaneers,Packers,153,171,0.526315789,0.6
11/24/2002,Cowboys,Jaguars,287,194,0.55,0.666666667
11/24/2002,Patriots,Vikings,219,264,0.489795918,0.617647059
11/24/2002,Steelers,Bengals,235,298,0.564102564,0.846153846
11/24/2002,Dolphins,Chargers,191,80,0.681818182,0.608695652
11/24/2002,Jets,Bills,170,170,0.657142857,0.625
11/24/2002,Seahawks,Chiefs,354,335,0.764705882,0.694444444
11/25/2002,49ers,Eagles,305,236,0.724137931,0.571428571
11/28/2002,Lions,Patriots,210,210,0.6,0.5
11/28/2002,Cowboys,Redskins,117,232,0.567567568,0.48
12/1/2002,Browns,Panthers,118,89,0.421052632,0.444444444
12/1/2002,Eagles,Rams,157,174,0.476190476,0.466666667
12/1/2002,Colts,Texans,190,100,0.571428571,0.535714286
12/1/2002,Saints,Buccaneers,136,249,0.636363636,0.384615385
12/1/2002,Jaguars,Steelers,124,184,0.62962963,0.52173913
12/1/2002,Bengals,Ravens,303,99,0.526315789,0.652173913
12/1/2002,Vikings,Falcons,230,152,0.392857143,0.534883721
12/1/2002,Giants,Titans,283,334,0.697674419,0.611111111
12/1/2002,Packers,Bears,215,230,0.710526316,0.571428571
12/1/2002,Chargers,Broncos,214,261,0.564102564,0.658536585
12/1/2002,49ers,Seahawks,157,427,0.545454545,0.551724138
12/1/2002,Bills,Dolphins,270,30,0.55,0.555555556
12/1/2002,Chiefs,Cardinals,261,96,0.418604651,0.72
12/2/2002,Raiders,Jets,313,242,0.647058824,0.738095238
12/8/2002,Steelers,Texans,294,10,0.3,0.534482759
12/8/2002,Chargers,Raiders,226,326,0.634146341,0.536585366
12/8/2002,Jets,Broncos,217,258,0.756756757,0.633333333
12/8/2002,Jaguars,Browns,54,244,0.6,0.714285714
12/8/2002,Seahawks,Eagles,195,190,0.583333333,0.533333333
12/8/2002,Redskins,Giants,315,205,0.548387097,0.543478261
12/8/2002,Cardinals,Lions,180,152,0.512820513,0.558139535
12/8/2002,Ravens,Saints,296,209,0.484848485,0.461538462
12/8/2002,Packers,Vikings,204,125,0.535714286,0.6875
12/8/2002,Titans,Colts,229,297,0.619047619,0.826086957
12/8/2002,Patriots,Bills,183,312,0.62745098,0.555555556
12/8/2002,Cowboys,49ers,147,276,0.654545455,0.392857143
12/8/2002,Buccaneers,Falcons,271,119,0.48,0.741935484
12/8/2002,Chiefs,Rams,113,169,0.685714286,0.6875
12/8/2002,Panthers,Bengals,319,257,0.675675676,0.724137931
12/9/2002,Dolphins,Bears,188,88,0.34375,0.517241379
12/15/2002,49ers,Packers,156,198,0.757575758,0.558823529
12/15/2002,Bengals,Jaguars,235,212,0.678571429,0.523809524
12/15/2002,Texans,Ravens,182,228,0.6,0.558823529
12/15/2002,Bills,Chargers,101,192,0.457142857,0.333333333
12/15/2002,Bears,Jets,161,200,0.666666667,0.814814815
12/15/2002,Lions,Buccaneers,148,253,0.585365854,0.454545455
12/15/2002,Dolphins,Raiders,213,162,0.548387097,0.65625
12/15/2002,Browns,Colts,253,274,0.588235294,0.6
12/15/2002,Falcons,Seahawks,223,298,0.709677419,0.552631579
12/15/2002,Steelers,Panthers,203,81,0.5,0.617647059
12/15/2002,Rams,Cardinals,300,249,0.62962963,0.6
12/15/2002,Broncos,Chiefs,285,309,0.428571429,0.692307692
12/15/2002,Saints,Vikings,221,293,0.722222222,0.636363636
12/15/2002,Eagles,Redskins,210,206,0.657142857,0.571428571
12/15/2002,Giants,Cowboys,220,137,0.4,0.516129032
12/16/2002,Titans,Patriots,127,120,0.483870968,0.458333333
12/21/2002,Cowboys,Eagles,78,245,0.575757576,0.625
12/21/2002,Cardinals,49ers,76,252,0.58974359,0.615384615
12/21/2002,Vikings,Dolphins,239,170,0.714285714,0.7
12/22/2002,Packers,Bills,104,142,0.5,0.454545455
12/22/2002,Jaguars,Titans,139,123,0.636363636,0.5
12/22/2002,Ravens,Browns,129,193,0.709677419,0.571428571
12/22/2002,Patriots,Jets,119,285,0.676470588,0.513513514
12/22/2002,Bengals,Saints,183,177,0.421052632,0.5
12/22/2002,Panthers,Bears,165,131,0.5,0.514285714
12/22/2002,Chiefs,Chargers,323,235,0.65,0.638888889
12/22/2002,Redskins,Texans,190,99,0.387096774,0.451612903
12/22/2002,Colts,Giants,349,366,0.793103448,0.652173913
12/22/2002,Raiders,Broncos,186,243,0.465116279,0.666666667
12/22/2002,Seahawks,Rams,292,254,0.653061224,0.625
12/22/2002,Falcons,Lions,336,121,0.333333333,0.526315789
12/23/2002,Buccaneers,Steelers,203,233,0.75,0.477272727
12/28/2002,Giants,Eagles,248,144,0.52,0.714285714
12/28/2002,Raiders,Chiefs,74,132,0.46875,0.5
12/29/2002,Bears,Buccaneers,133,111,0.64,0.448275862
12/29/2002,Texans,Titans,196,137,0.347826087,0.512195122
12/29/2002,Saints,Panthers,119,188,0.625,0.387096774
12/29/2002,Colts,Jaguars,146,112,0.5,0.714285714
12/29/2002,Redskins,Cowboys,201,148,0.52173913,0.548387097
12/29/2002,Browns,Falcons,129,226,0.425,0.56
12/29/2002,Bills,Bengals,225,233,0.542857143,0.741935484
12/29/2002,Patriots,Dolphins,216,103,0.44,0.555555556
12/29/2002,Chargers,Seahawks,326,428,0.679245283,0.56
12/29/2002,Steelers,Ravens,176,308,0.730769231,0.666666667
12/29/2002,Lions,Vikings,293,296,0.724137931,0.431818182
12/29/2002,Broncos,Cardinals,191,123,0.484848485,0.666666667
12/29/2002,Jets,Packers,208,208,0.536585366,0.72
12/30/2002,Rams,49ers,228,136,0.666666667,0.6
1/4/2003,Packers,Falcons,233,117,0.52,0.476190476
1/4/2003,Jets,Colts,216,124,0.451612903,0.76
1/5/2003,Steelers,Browns,343,409,0.604651163,0.625
1/5/2003,49ers,Giants,356,327,0.659090909,0.622222222
1/11/2003,Eagles,Falcons,227,261,0.58974359,0.666666667
1/11/2003,Titans,Steelers,331,257,0.5,0.6
1/12/2003,Raiders,Jets,272,167,0.446808511,0.666666667
1/12/2003,Buccaneers,49ers,208,166,0.536585366,0.5
1/19/2003,Eagles,Buccaneers,232,259,0.606060606,0.530612245
1/19/2003,Raiders,Titans,286,174,0.583333333,0.707317073
1/26/2003,Buccaneers,Raiders,215,250,0.545454545,0.529411765
9/4/2003,Redskins,Jets,167,101,0.625,0.739130435
9/7/2003,Browns,Colts,182,204,0.627906977,0.689655172
9/7/2003,Bengals,Broncos,243,109,0.48,0.540540541
9/7/2003,Cowboys,Falcons,254,220,0.592592593,0.46875
9/7/2003,Dolphins,Texans,215,266,0.53125,0.53125
9/7/2003,Giants,Rams,187,315,0.636363636,0.538461538
9/7/2003,Panthers,Jaguars,120,256,0.851851852,0.533333333
9/7/2003,Titans,Raiders,258,246,0.615384615,0.657894737
9/7/2003,Packers,Vikings,242,183,0.5,0.609756098
9/7/2003,Seahawks,Saints,119,263,0.617021277,0.52173913
9/7/2003,Chiefs,Chargers,259,168,0.545454545,0.65625
9/7/2003,Bills,Patriots,215,134,0.485714286,0.607142857
9/7/2003,Steelers,Ravens,251,143,0.511627907,0.724137931
9/7/2003,Lions,Cardinals,195,339,0.608695652,0.566666667
9/7/2003,49ers,Bears,229,72,0.411764706,0.542857143
9/8/2003,Eagles,Buccaneers,124,238,0.75,0.513513514
9/14/2003,Cardinals,Seahawks,193,193,0.476190476,0.543478261
9/14/2003,Buccaneers,Panthers,216.7586759,168.1160467,0.508486527,0.604405564
9/14/2003,Jets,Dolphins,366,189,0.736842105,0.644444444
9/14/2003,Eagles,Patriots,168,247,0.681818182,0.416666667
9/14/2003,Chargers,Broncos,182,185,0.551724138,0.487804878
9/14/2003,Jaguars,Bills,192,328,0.740740741,0.65
9/14/2003,Raiders,Bengals,271.2362343,210.7497808,0.583138816,0.657201743
9/14/2003,Vikings,Bears,198,128,0.608695652,0.769230769
9/14/2003,Rams,49ers,190,242,0.552631579,0.694444444
9/14/2003,Packers,Lions,132,237,0.472727273,0.535714286
9/14/2003,Saints,Texans,182,183,0.472222222,0.666666667
9/14/2003,Falcons,Redskins,184,310,0.641025641,0.444444444
9/14/2003,Colts,Titans,164,183,0.647058824,0.666666667
9/14/2003,Ravens,Browns,50,115,0.459459459,0.388888889
9/14/2003,Chiefs,Steelers,123,320,0.595744681,0.714285714
9/15/2003,Giants,Cowboys,256,296,0.625,0.411764706
9/21/2003,Bengals,Steelers,125,238,0.617647059,0.666666667
9/21/2003,Chargers,Ravens,257,97,0.571428571,0.622222222
9/21/2003,Falcons,Buccaneers,203.793212,217.8920675,0.539103319,0.567539911
9/21/2003,49ers,Browns,224.7007108,195.6676207,0.573561324,0.599663651
9/21/2003,Lions,Vikings,225,287,0.46875,0.571428571
9/21/2003,Texans,Chiefs,209,258,0.571428571,0.631578947
9/21/2003,Dolphins,Bills,147,77,0.384615385,0.571428571
9/21/2003,Cardinals,Packers,273,245,0.696969697,0.64516129
9/21/2003,Redskins,Giants,332,270,0.615384615,0.511111111
9/21/2003,Colts,Jaguars,216,114,0.571428571,0.636363636
9/21/2003,Patriots,Jets,147,264,0.568181818,0.576923077
9/21/2003,Seahawks,Rams,220,226,0.617647059,0.564102564
9/21/2003,Titans,Saints,219.7888447,229.3551758,0.594372038,0.611367342
9/22/2003,Broncos,Raiders,193,156,0.485714286,0.666666667
9/28/2003,Jets,Cowboys,220.8764766,200.3873053,0.671128804,0.655156655
9/28/2003,Ravens,Chiefs,124,136,0.607142857,0.576923077
9/28/2003,Bills,Eagles,287,159,0.620689655,0.627906977
9/28/2003,Steelers,Titans,262.2744826,198.5661409,0.582037209,0.645023388
9/28/2003,Browns,Bengals,197.4095572,182.3300154,0.557811562,0.591725835
9/28/2003,Broncos,Lions,253,141,0.454545455,0.735294118
9/28/2003,Redskins,Patriots,134,281,0.657894737,0.454545455
9/28/2003,Saints,Colts,208,318,0.777777778,0.583333333
9/28/2003,Panthers,Falcons,168,123,0.608695652,0.62962963
9/28/2003,Texans,Jaguars,229,263,0.486486486,0.621621622
9/28/2003,Raiders,Chargers,238.1039842,233.2257479,0.597606498,0.617408527
9/28/2003,Vikings,49ers,252,227,0.56097561,0.761904762
9/28/2003,Rams,Cardinals,268,125,0.619047619,0.666666667
9/29/2003,Bears,Packers,180,193,0.733333333,0.568181818
10/5/2003,Giants,Dolphins,242.5740029,243.2566853,0.59045553,0.57383284
10/5/2003,Steelers,Browns,259.9920009,182.9903732,0.593255634,0.643579959
10/5/2003,Panthers,Saints,124,189,0.516129032,0.652173913
10/5/2003,Bills,Bengals,224.3749019,173.5609567,0.569390287,0.590203144
10/5/2003,Cowboys,Cardinals,268,119,0.5,0.64516129
10/5/2003,49ers,Lions,224.1048993,195.0353664,0.599728762,0.588632216
10/5/2003,Bears,Raiders,144,182,0.485714286,0.541666667
10/5/2003,Chiefs,Broncos,220.311199,242.1809621,0.620825219,0.629419944
10/5/2003,Falcons,Vikings,187.6606332,227.1571689,0.571571369,0.548127548
10/5/2003,Jaguars,Chargers,176.0141955,211.8631387,0.627140424,0.632901922
10/5/2003,Eagles,Redskins,190.4816289,215.4742525,0.636454843,0.544294955
10/5/2003,Packers,Seahawks,213.6885729,203.317422,0.540899093,0.609131996
10/5/2003,Patriots,Titans,196.8814505,208.634641,0.559898621,0.594474017
10/6/2003,Buccaneers,Colts,239.6893368,146.4040529,0.490257806,0.61768396
10/12/2003,Jaguars,Dolphins,187.7112367,214.5632135,0.626636159,0.611916875
10/12/2003,Browns,Raiders,205.1913265,185.7512388,0.587732921,0.606089617
10/12/2003,Redskins,Buccaneers,219.1868599,201.0835603,0.579979839,0.556204501
10/12/2003,Patriots,Giants,207.4597524,197.6511332,0.54229281,0.602076965
10/12/2003,Broncos,Steelers,211.445723,189.723623,0.546668256,0.630695148
10/12/2003,Cardinals,Ravens,202.4630308,231.3476014,0.616189898,0.57965597
10/12/2003,Saints,Bears,206.5574993,230.8302142,0.601608045,0.584904412
10/12/2003,Seahawks,49ers,223.68313,221.7547247,0.583566901,0.572245428
10/12/2003,Colts,Panthers,234.5010762,178.2150319,0.625306296,0.66717687
10/12/2003,Cowboys,Eagles,195.3476033,223.6678683,0.578480203,0.528125061
10/12/2003,Jets,Bills,228.904338,190.3717362,0.655359647,0.644252387
10/12/2003,Packers,Chiefs,209.626067,199.760488,0.544197505,0.626092604
10/12/2003,Titans,Texans,215.7402911,222.0876212,0.620492671,0.671291312
10/13/2003,Rams,Falcons,251.079516,206.87636,0.593534335,0.643527307
10/19/2003,Lions,Cowboys,193.4422256,256.9077654,0.607575785,0.497446587
10/19/2003,Giants,Eagles,248.3015018,243.072778,0.569528623,0.594588464
10/19/2003,Dolphins,Patriots,174.747004,220.3319315,0.572868506,0.594047996
10/19/2003,Texans,Jets,185.540878,217.4461642,0.556743519,0.54318187
10/19/2003,Panthers,Titans,144.3246288,207.0906514,0.599613951,0.545434659
10/19/2003,Falcons,Saints,199.6970076,221.9197492,0.583762039,0.574220473
10/19/2003,Browns,Chargers,202.3706313,182.5613495,0.570309872,0.629626683
10/19/2003,Bills,Redskins,221.6188492,175.2538226,0.575110935,0.584825628
10/19/2003,49ers,Buccaneers,221.63322,205.6792475,0.614946553,0.580207985
10/19/2003,Seahawks,Bears,224.0885267,215.409899,0.608214928,0.571771028
10/19/2003,Vikings,Broncos,231.2890726,225.144102,0.60036239,0.620849704
10/19/2003,Rams,Packers,252.6258911,195.2601236,0.595717805,0.643992114
10/19/2003,Bengals,Ravens,220.3264294,193.6301535,0.587772277,0.62364934
10/20/2003,Raiders,Chiefs,225.6672074,208.7492285,0.60629476,0.579719261
10/26/2003,Patriots,Browns,186.630724,230.211116,0.543055961,0.56411995
10/26/2003,Buccaneers,Cowboys,247.1096788,177.9326341,0.557896673,0.644240809
10/26/2003,Cardinals,49ers,193.2771571,234.0503074,0.620074337,0.571388224
10/26/2003,Vikings,Giants,231.426801,235.9005446,0.609234571,0.617320818
10/26/2003,Jaguars,Titans,201.9477511,223.3133267,0.623574088,0.619252762
10/26/2003,Saints,Panthers,197.266593,204.9887616,0.590152524,0.562963506
10/26/2003,Steelers,Rams,251.6498967,183.0736811,0.665202711,0.623362102
10/26/2003,Bears,Lions,151.0621717,200.8829875,0.602878455,0.538985418
10/26/2003,Eagles,Jets,164.2525599,228.4805278,0.614567097,0.531036735
10/26/2003,Ravens,Broncos,128.3422841,209.5559414,0.61082025,0.528738078
10/26/2003,Bengals,Seahawks,219.584454,191.4609367,0.582135713,0.620623038
10/26/2003,Colts,Texans,253.6757141,198.8316126,0.632411109,0.673005404
10/26/2003,Chiefs,Bills,223.0863625,230.1875116,0.610727527,0.610686009
10/27/2003,Chargers,Dolphins,216.269455,258.8149264,0.617004259,0.591542147
11/2/2003,Texans,Panthers,208.8180841,235.9161442,0.562147361,0.568767128
11/2/2003,Buccaneers,Saints,249.4654714,187.1279254,0.554019673,0.643378387
11/2/2003,Falcons,Eagles,191.0005582,241.500457,0.595011597,0.552760998
11/2/2003,Cardinals,Bengals,197.7305779,215.1322951,0.606416224,0.578644959
11/2/2003,Dolphins,Colts,177.5348907,230.3785831,0.589597976,0.580727489
11/2/2003,Bears,Chargers,146.2579057,201.6634049,0.614870522,0.539517922
11/2/2003,Cowboys,Redskins,202.4468633,179.0747614,0.516563138,0.569692195
11/2/2003,Lions,Raiders,184.2424477,237.8094903,0.612247881,0.482386802
11/2/2003,Seahawks,Steelers,217.7833166,197.0231173,0.602721578,0.593667812
11/2/2003,Ravens,Jaguars,147.5105794,212.1494573,0.607793027,0.53192137
11/2/2003,Vikings,Packers,237.1061953,229.6499806,0.6028469,0.631595527
11/2/2003,Jets,Giants,206.7599882,175.1618536,0.627718059,0.6387525
11/2/2003,49ers,Rams,216.1105733,208.6908744,0.614072471,0.574731053
11/3/2003,Broncos,Patriots,212.3711906,185.2535414,0.571000987,0.609007723
11/9/2003,Giants,Falcons,259.771209,205.2728138,0.526791006,0.59544252
11/9/2003,Cowboys,Bills,192.6070854,172.0539001,0.512794044,0.570736673
11/9/2003,Lions,Bears,182.3448839,232.3071082,0.617012312,0.491943029
11/9/2003,Raiders,Jets,218.1547825,197.9189548,0.594783776,0.57819578
11/9/2003,Redskins,Seahawks,211.175179,205.6532416,0.608136406,0.53784306
11/9/2003,Panthers,Buccaneers,163.1121389,218.4096848,0.604086849,0.548251635
11/9/2003,Steelers,Cardinals,228.7484855,199.5773048,0.650658643,0.602030659
11/9/2003,Jaguars,Colts,211.8766109,209.5420282,0.632450978,0.613592485
11/9/2003,Titans,Dolphins,248.2363979,247.3342824,0.611588225,0.636245263
11/9/2003,Rams,Ravens,276.8616507,189.0086342,0.563294155,0.642713965
11/9/2003,Bengals,Texans,225.8614031,218.5697053,0.580357667,0.62237081
11/9/2003,Chiefs,Browns,217.9025781,232.2404918,0.603424625,0.596121896
11/9/2003,Chargers,Vikings,192.6599418,239.5298779,0.619229843,0.584270929
